,pvalue
Id,
MSSubClass,
MSZoning,8.817633866272648e-35
LotFrontage,
LotArea,
Street,
Alley,4.899826166771113e-08
LotShape,6.447523852011766e-25
LandContour,2.7422167521379096e-08
Utilities,
LotConfig,3.163167473604189e-06
LandSlope,0.1413963584114019
Neighborhood,1.497728506698194e-224
Condition1,8.904549416138853e-08
Condition2,0.043425658360948464
BldgType,2.0567364604967015e-10
HouseStyle,3.376776535121222e-25
OverallQual,0.0
OverallCond,7.962288819951294e-38
YearBuilt,
YearRemodAdd,
RoofStyle,3.653523047099125e-17
RoofMatl,7.231444779987188e-08
Exterior1st,2.5860887286376316e-43
Exterior2nd,4.8421856706985465e-43
MasVnrType,4.793331178118786e-65
MasVnrArea,
ExterQual,1.4395510967787893e-204
ExterCond,5.106680608671862e-07
Foundation,5.791895002232233e-91
BsmtQual,9.610615106781709e-186
BsmtCond,5.136900937703027e-09
BsmtExposure,1.8077310066862167e-63
BsmtFinType1,
BsmtFinSF1,
BsmtFinType2,0.019410089690234594
BsmtFinSF2,
BsmtUnfSF,
TotalBsmtSF,
Heating,0.000753472106445497
HeatingQC,2.667062092104357e-67
CentralAir,
Electrical,1.6632487814737638e-18
1stFlrSF,
2ndFlrSF,
LowQualFinSF,
GrLivArea,
BsmtFullBath,2.88243552729416e-17
BsmtHalfBath,0.8013743052059724
FullBath,3.802187932448508e-129
HalfBath,1.6091449454034875e-31
BedroomAbvGr,3.3043196450461637e-16
KitchenAbvGr,2.011735142857873e-06
KitchenQual,3.0322127528400614e-192
TotRmsAbvGrd,1.1917103366526644e-103
Functional,0.0004841696801078294
Fireplaces,4.4210010307257784e-83
FireplaceQu,5.016300447019087e-19
GarageType,1.247153670658973e-66
GarageYrBlt,
GarageFinish,1.1991165312294262e-93
GarageCars,1.1211287650612485e-211
GarageArea,
GarageQual,1.2408026478015653e-07
GarageCond,1.3097143055289643e-07
PavedDrive,1.803568890651533e-18
WoodDeckSF,
OpenPorchSF,
EnclosedPorch,
3SsnPorch,
ScreenPorch,
PoolArea,
PoolQC,0.30398528011207915
Fence,0.002312645635631918
MiscFeature,0.10472761568792907
MiscVal,
MoSold,0.48335232989243127
YrSold,0.6300887663573457
SaleType,5.039766889462451e-42
SaleCondition,7.988268404991176e-44
TotSF,
SalePrice,
